experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,diag_true_ps_min,diag_true_ps_max,error
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,0,2000,2000,0.5,7.9864661693573,0.4782402657254723,0.12851956908032924,0.3488806814274888,-0.1285195690803293,0.988634815670337,0.8601152465900077,0.9623472689649305,0.012293980811211358,0.9746412497761419,0.38209468158537135,0.33758690709377814,0.37046198096178207,0.7194801332695602,0.5,0.30161096242148194,0.6755440672048536,0.0,0.0,0.096,0.03617392029560568,0.12084866904148066,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,1,2000,2000,0.495,1.9766356945037842,0.5108917837776599,0.13119355311482195,0.3632602520281616,-0.13119355311482195,0.9947717733296532,0.8635782202148312,1.0461381073014087,0.01776114348044766,1.0638992507818563,0.3219718426126255,0.3557228157767656,0.4065998795473926,0.8053034259076529,0.495,0.2615105049613446,0.6718587160923126,0.0,0.0,0.11812181218121812,0.04292046311676366,0.10668488565857716,0.05,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,2,2000,2000,0.5035,2.347459554672241,0.4628802110314435,0.006628440231259636,0.3508315356140106,-0.006628440231259655,0.9804604494287746,0.973832009197515,0.9286486971278427,0.008997757371035808,0.9376464544988785,0.49917305623697983,0.2733240880879613,0.32717332839228114,0.6527711505916056,0.5035,0.2929037483019912,0.7107596090634787,0.0,0.0,0.12976335840456182,0.05200336617670166,0.1300180432092643,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,3,2000,2000,0.5,2.031743049621582,0.4573912621836349,0.13433758898761272,0.32847879602087215,-0.13433758898761278,1.0087926713972664,0.8744550824096536,0.8828485281847503,0.019669887842565403,0.9025184160273158,0.30977824048765995,0.3516005536170536,0.37996269349143047,0.6876553721589347,0.5,0.3339531679415336,0.674103785436549,0.0,0.0,0.108,0.04397804774632658,0.08348393134626104,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,4,2000,2000,0.4745,2.267402172088623,0.42802929289959285,0.12896922531077382,0.316422856708832,-0.12896922531077387,0.9903193784566898,0.861350153145916,0.9096685748761975,0.012667008808351699,0.9223355836845492,0.3288493266280303,0.30653593923808364,0.3170394341528678,0.6559086352871474,0.4745,0.2989067005510385,0.646543204391403,0.0,0.0,0.09182884683060641,0.040307352301775956,0.09620872186074654,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,5,2000,2000,0.5075,2.3918020725250244,0.5020502966944276,0.0783009613817438,0.3840937738432829,0.07830096138174371,0.9664879542782492,1.044788915659993,0.9729869603879417,0.00728144980958878,0.9802684101975305,0.5081745655555356,0.4670896501942846,0.4026078154211997,0.6080385005979833,0.5075,0.32807189819113414,0.6704747301170138,0.0,0.0,0.09521642369533145,0.035002717603518106,0.14606359355552034,0.05,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,6,2000,2000,0.489,2.486006498336792,0.4114962531526255,0.004215876115607586,0.3113402053875311,-0.004215876115607726,1.003619649399195,0.9994037732835873,1.026782935406761,0.009150542623949098,1.0359334780307101,0.35494027605049333,0.314565797086571,0.341638745158438,0.5793663719803354,0.489,0.347036171468478,0.6192937795864211,0.0,0.0,0.09889186366201241,0.02776811845669277,0.09743066258171393,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,7,2000,2000,0.4925,2.642069101333618,0.44001309647625303,0.015651172552854753,0.33815764922927066,-0.015651172552854656,0.9985860310672204,0.9829348585143657,0.9927831958689667,0.009467668663351358,1.002250864532318,0.38304304868112493,0.35073105317374476,0.38988720964127827,0.5938853552979099,0.4925,0.2613921765664383,0.6923932826880763,0.0,0.0,0.11139006276412193,0.041775178257900794,0.11379574324848574,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,8,2000,2000,0.493,2.951575517654419,0.45201339704184695,0.10307199898657282,0.34414526384503824,-0.10307199898657278,1.0063284488837538,0.903256449897181,1.0266003963705739,0.01536010059503412,1.041960496965608,0.3684607655651673,0.33849851710284695,0.3895465650122339,0.6443394573256518,0.493,0.3201051481548517,0.6428530196688977,0.0,0.0,0.087255101999992,0.0355156250203149,0.0810216864786433,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,neural_rep,9,2000,2000,0.497,2.8924360275268555,0.4935334996564187,0.1308761809583412,0.3752184697735779,-0.13087618095834133,1.000148146210073,0.8692719652517318,0.8937771669969868,0.01349353300812306,0.9072707000051099,0.3395607118760221,0.38163198332881904,0.4576176613575997,0.7098893501080371,0.497,0.34894679724308725,0.6455766442257557,0.0,0.0,0.08948522146797284,0.03447847881826681,0.08078551820768623,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,0,2000,2000,0.5015,1.8460118770599365,0.4919751091964288,0.30030690573211816,0.3763214486958152,-0.30030690573211816,0.988634815670337,0.6883279099382188,0.9639414386956262,0.010699811080515653,0.9746412497761419,0.2693005200626528,0.35049603910098026,0.3982285918300791,0.7837102636771406,0.5015,0.028614529247713533,0.9742087337563412,0.0235,0.025,0.3961445653010877,0.10901961827433163,0.6463457674163098,0.25,0.030255797901506145,0.9618833171064568,
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,1,2000,2000,0.504,1.9000029563903809,0.6016798312882509,0.41154047784251113,0.44534055081028506,-0.4115404778425113,0.9947717733296532,0.583231295487142,1.0516256881524566,0.012273562629399715,1.0638992507818563,0.22787364693386164,0.42677730560199656,0.49911695188379473,0.9822888975828974,0.504,0.0400474627699318,0.9516231435316647,0.015,0.0165,0.377192140296979,0.10720741637231476,0.5475038568343314,0.15,0.04823166296560886,0.9599710610726617,
