condition,condition_value,metric,reference,comparison,n_pairs,mean_diff,median_diff,statistic,p_value,reject_h0_holm_0.05,experiment,favors
train_fraction,1.0,abs_ate_error,neural_rep,t_learner,30,-0.0947352529555442,-0.010790418718512398,220.0,0.8078304156661034,False,sample_size,NeuralRep
train_fraction,1.0,abs_ate_error,neural_rep,x_learner,30,-0.15062456114160389,-0.07803503723431024,119.0,0.018529480323195457,False,sample_size,NeuralRep
train_fraction,0.25,policy_regret,neural_rep,s_learner,30,-0.3816039052062925,-0.00555590075801415,16.0,0.0024719854430073768,True,sample_size,NeuralRep
train_fraction,0.25,policy_regret,neural_rep,t_learner,30,0.030309375166875086,0.0003918896173940008,114.0,0.19189788048905043,False,sample_size,baseline
train_fraction,0.25,policy_regret,neural_rep,x_learner,30,-0.29407125055546346,-0.009512175645896903,16.0,0.0014771661952373803,True,sample_size,NeuralRep
train_fraction,0.5,policy_regret,neural_rep,s_learner,30,-0.16767467847746578,-0.03754477546781045,7.0,0.00010460893926546262,True,sample_size,NeuralRep
train_fraction,0.5,policy_regret,neural_rep,t_learner,30,-0.021751160844029897,0.0002980326525073018,140.0,0.7750969621959847,False,sample_size,NeuralRep
train_fraction,0.5,policy_regret,neural_rep,x_learner,30,-0.15032548021191366,-0.007860508026481298,9.0,0.0005385174873341328,True,sample_size,NeuralRep
train_fraction,0.75,policy_regret,neural_rep,s_learner,30,-0.16202350271669005,-0.027148374138431745,5.0,0.00012267381509278223,True,sample_size,NeuralRep
train_fraction,0.75,policy_regret,neural_rep,t_learner,30,-0.0488368561587056,0.0,81.0,0.13962549456047801,False,sample_size,NeuralRep
train_fraction,0.75,policy_regret,neural_rep,x_learner,30,-0.1176628360563378,-0.025498217833088248,12.0,0.0005167151238567522,True,sample_size,NeuralRep
train_fraction,1.0,policy_regret,neural_rep,s_learner,30,-0.12338319503645355,-0.03315632806210454,11.0,0.00028104304823949435,True,sample_size,NeuralRep
train_fraction,1.0,policy_regret,neural_rep,t_learner,30,-0.03568791924351604,0.0,123.0,0.44045294529422474,False,sample_size,NeuralRep
train_fraction,1.0,policy_regret,neural_rep,x_learner,30,-0.1459217228282574,-0.034177592099410056,20.0,0.000331994064682034,True,sample_size,NeuralRep
train_fraction,0.25,pehe,neural_rep,s_learner,30,-0.04442358402926898,-0.03680700896566472,68.0,0.0003800932317972183,True,sample_size_synthetic,NeuralRep
train_fraction,0.25,pehe,neural_rep,t_learner,30,-0.4027910726849745,-0.4125499651658284,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,0.25,pehe,neural_rep,x_learner,30,0.00591877004817396,0.008683212372775362,191.0,0.40449450351297855,False,sample_size_synthetic,baseline
train_fraction,0.5,pehe,neural_rep,s_learner,30,-0.028818715095607027,-0.030165100887892204,68.0,0.0003800932317972183,True,sample_size_synthetic,NeuralRep
train_fraction,0.5,pehe,neural_rep,t_learner,30,-0.33443849537547055,-0.34023158516887886,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,0.5,pehe,neural_rep,x_learner,30,0.03668976054507344,0.03536510763176082,14.0,2.0489096641540527e-07,True,sample_size_synthetic,baseline
train_fraction,0.75,pehe,neural_rep,s_learner,30,-0.031482192903619345,-0.0325548829821925,27.0,2.348795533180237e-06,True,sample_size_synthetic,NeuralRep
train_fraction,0.75,pehe,neural_rep,t_learner,30,-0.2976617276767069,-0.3000854568725658,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,0.75,pehe,neural_rep,x_learner,30,0.044033218874512385,0.04051274649352288,0.0,1.862645149230957e-09,True,sample_size_synthetic,baseline
train_fraction,1.0,pehe,neural_rep,s_learner,30,-0.03430683853049953,-0.030495489486541988,42.0,2.0798295736312866e-05,True,sample_size_synthetic,NeuralRep
train_fraction,1.0,pehe,neural_rep,t_learner,30,-0.28411186559701485,-0.28109923554726035,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,1.0,pehe,neural_rep,x_learner,30,0.048368811763382674,0.04992650151760375,3.0,9.313225746154785e-09,True,sample_size_synthetic,baseline
train_fraction,0.25,abs_ate_error,neural_rep,s_learner,30,-0.24799101346295652,-0.25004666494278094,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,0.25,abs_ate_error,neural_rep,t_learner,30,-0.007250462752745951,-0.025043016535658505,196.0,0.46454504504799843,False,sample_size_synthetic,NeuralRep
train_fraction,0.25,abs_ate_error,neural_rep,x_learner,30,0.041549347843593876,0.0371860822795231,68.0,0.0003800932317972183,True,sample_size_synthetic,baseline
train_fraction,0.5,abs_ate_error,neural_rep,s_learner,30,-0.22238804774243412,-0.2335644945460612,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,0.5,abs_ate_error,neural_rep,t_learner,30,-0.021377553201758433,-0.0320658036222579,134.0,0.0426517054438591,True,sample_size_synthetic,NeuralRep
train_fraction,0.5,abs_ate_error,neural_rep,x_learner,30,0.03645484846482771,0.0359042950118946,51.0,6.286613643169403e-05,True,sample_size_synthetic,baseline
train_fraction,0.75,abs_ate_error,neural_rep,s_learner,30,-0.182939968133167,-0.18683346896073943,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,0.75,abs_ate_error,neural_rep,t_learner,30,0.0017010049121105287,-0.006295023395476351,227.0,0.9192965272814035,False,sample_size_synthetic,baseline
train_fraction,0.75,abs_ate_error,neural_rep,x_learner,30,0.050426175788935455,0.04579180676238336,35.0,7.994472980499268e-06,True,sample_size_synthetic,baseline
train_fraction,1.0,abs_ate_error,neural_rep,s_learner,30,-0.17957317260699152,-0.18840981233690585,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,1.0,abs_ate_error,neural_rep,t_learner,30,0.0038738997083943654,-0.001140945450515348,227.0,0.9192965272814035,False,sample_size_synthetic,baseline
train_fraction,1.0,abs_ate_error,neural_rep,x_learner,30,0.03442232918487168,0.02780068557329815,74.0,0.0006665531545877457,True,sample_size_synthetic,baseline
train_fraction,0.25,policy_regret,neural_rep,s_learner,30,0.0050619256237850385,0.0037844733285178496,52.0,7.056817412376404e-05,True,sample_size_synthetic,baseline
train_fraction,0.25,policy_regret,neural_rep,t_learner,30,-0.10609062053003446,-0.10412677973030335,0.0,1.862645149230957e-09,True,sample_size_synthetic,NeuralRep
train_fraction,0.25,policy_regret,neural_rep,x_learner,30,-0.012974667493540494,-0.0132232402491571,17.0,3.855675458908081e-07,True,sample_size_synthetic,NeuralRep
